ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: woostify_product_video_metabox,Handle,Images,Attribute 1 name,Attribute 2 name,Attribute 3 name,Attribute 1 value(s),Attribute 2 value(s),Attribute 3 value(s),Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 1 visible,Attribute 2 visible,Attribute 3 visible,Attribute 1 global,Attribute 2 global,Attribute 3 global,Download 1 name,Download 1 URL
0100647,variable,0100647-P,"Teddy Armchair, White",1,1,visible,"With a simple and timeless design, this emerald green armchair is tasteful and versatile. Featuring wooden legs, it pairs well with all kinds of interior design styles and will bring an elegant flair to your home. ","<div class=""productdescription"">
<table>
<tbody>
<tr>
<td style=""font-weight: bold;"">Product name</td>
<td>Teddy Armchair, White</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Material</td>
<td>Velvet,Boucle, Wood</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Dimensions</td>
<td>More details below</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Color</td>
<td>Green, White<br>
</td>
</tr>
<tr>
<td style=""font-weight: bold;"">
<meta charset=""utf-8"">Assembly Need</td>
<td>No</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Caring instructions</td>
<td>Wipe with a damp cloth if necessary</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Delivery</td>
<td>2-3 days to UK addresses, 4-5 days to EU addresses</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Style</td>
<td>Contemporary &amp; Modern</td>
</tr>
</tbody>
</table>
<audio class=""audio-for-speech""></audio>
<div class=""translate-tooltip-mtz hidden"">
<div class=""header"">
<div class=""header-controls"">
<span class=""sound-translate""></span> <span class=""settings""></span>
</div>
</div>
</div>
<div class=""translate-tooltip-mtz hidden"">
<div class=""header"">
<div style=""text-align: center;"" class=""translate-icons""></div>
</div>
</div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""><img height=""16662"" width=""572"" src=""https://i.ibb.co/3kSzbQt/3.jpg""></div>
</div>",,,taxable,standard,1,15.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,689.0,,"cheap armchairs, Green, green armchair, modern, white, white armchair",,,,,,,,,Buy Now,1,,teddy-armchair-white,"https://cdn.shopify.com/s/files/1/0324/8268/9157/products/teddy-armchair-white-weilai-concept-weilai-concept.jpg?v=1686868439,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/teddy-armchair-white-weilai-concept-weilai-concept-3.jpg?v=1686868430,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/teddy-armchair-white-weilai-concept-weilai-concept-2.jpg?v=1686868430,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/teddy-armchair-white-weilai-concept-weilai-concept-4.jpg?v=1676764813,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/teddy-armchair-white-weilai-concept-weilai-concept-5.jpg?v=1676764815",Color,,,"Green,White",,,,,,1,1,1,1,1,1,,
0100648,variable,0100648-P,"Harper TV Stand, Oak",1,1,visible,"Beautifully designed, this white oak TV stand is elegant and versatile. Featuring a white and natural oak exterior that creates contrast and brings a modern vibe to your home. ","<div class=""productdescription"">
<table>
<tbody>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Product name</td>
<td>Harper TV Stand, Oak</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Material</td>
<td>MDF, Painted Steel, Wood</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Dimensions</td>
<td>More details below</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Color</td>
<td>Oak and White<br>
</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">
<meta charset=""utf-8"">Assembly Need</td>
<td>Yes, Legs to be fitted</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Caring instructions</td>
<td>Wipe with a damp cloth if necessary</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Delivery</td>
<td>2-3 days to UK addresses, 4-5 days to EU addresses</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Style</td>
<td>Contemporary &amp; Modern</td>
</tr>
</tbody>
</table>
<audio class=""audio-for-speech""></audio>
<div class=""translate-tooltip-mtz hidden"">
<div class=""header"">
<div class=""header-controls"">
<span class=""sound-translate""></span> <span class=""settings""></span>
</div>
<div class=""translate-icons""></div>
</div>
</div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""><img src=""https://i.ibb.co/PhYhwnm/3.jpg"" width=""563"" height=""7337""></div>
</div>",,,taxable,standard,1,15.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,489.0,,,,,,,,,,,Buy Now,1,,harper-tv-stand-oak,"https://cdn.shopify.com/s/files/1/0324/8268/9157/products/harper-tv-stand-oak-weilai-concept-weilai-concept.jpg?v=1676764808,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/harper-tv-stand-oak-weilai-concept-weilai-concept-2.jpg?v=1676764810,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/harper-tv-stand-oak-weilai-concept-weilai-concept-3.jpg?v=1676764812,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/harper-tv-stand-oak-weilai-concept-weilai-concept-4.jpg?v=1676764814",Title,,,Default Title,,,,,,1,1,1,1,1,1,,
0100649,variable,0100649-P,"Pierre Jeanneret Eket Armchair, Black",1,1,visible,"Elegantly designed, this dark grey velvet armchair offers both sophistication and comfort. Featuring thick velvet smooth paddings and oak details, this chair is cozy and durable.","<div class=""productdescription"">
<table>
<tbody>
<tr>
<td style=""font-weight: bold;"">Product name</td>
<td>Pierre Jeanneret Eket Armchair</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Material</td>
<td>Velvet, Wood</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Dimensions</td>
<td>More details below</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Color</td>
<td>Brown, Black, Beige, Blue<br>
</td>
</tr>
<tr>
<td style=""font-weight: bold;"">
<meta charset=""utf-8"">Assembly Need</td>
<td>Yes, Legs to be fitted</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Caring instructions</td>
<td>Wipe with a damp cloth if necessary</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Delivery</td>
<td>2-3 days to UK addresses, 4-5 days to EU addresses</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Style</td>
<td>Contemporary &amp; Modern</td>
</tr>
</tbody>
</table>
</div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""></div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""><img height=""5025"" width=""548"" src=""https://i.ibb.co/0GDF4vB/3.jpg""></div>",,,taxable,standard,1,5.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,599.0,,"armchair sale, beige, Black, blue, brown, comfy armchair, modern, modern armchair",,,,,,,,,Buy Now,1,,pierre-jeanneret-eket-armchair-oak,"https://cdn.shopify.com/s/files/1/0324/8268/9157/products/eket-armchair-oak-weilai-concept-weilai-concept.jpg?v=1676764800,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/eket-armchair-oak-weilai-concept-weilai-concept-2.jpg?v=1676764802,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/eket-armchair-oak-weilai-concept-weilai-concept-3.jpg?v=1676764804,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/eket-armchair-oak-weilai-concept-weilai-concept-4.jpg?v=1676764806",Color,Material,,"Black,Brown,Beige,Blue","Velvet,Leather",,,,,1,1,1,1,1,1,,
0100650,variable,0100650-P,Utrecht Style Armchair,1,1,visible,"Drawing inspiration from minimalism, this red velvet armchair is versatile and comfortable. Featuring a stitching accent all round the chair, it gives a pop of decoration and makes the chair more sophisticated. ","<div class=""productdescription"">
<table>
<tbody>
<tr>
<td style=""font-weight: bold;"">Product name</td>
<td>Utrecht Style Armchair</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Material</td>
<td>Leather, Velvet</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Dimensions</td>
<td>More details below</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Color</td>
<td>Pink, Red, Green, Blue, Grey, Purple<br>
</td>
</tr>
<tr>
<td style=""font-weight: bold;"">
<meta charset=""utf-8"">Assembly Need</td>
<td>No</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Caring instructions</td>
<td>Wipe with a damp cloth if necessary</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Delivery</td>
<td>2-3 days to UK addresses, 4-5 days to EU addresses</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Style</td>
<td>Contemporary &amp; Modern</td>
</tr>
</tbody>
</table>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""></div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""><img height=""7274"" width=""563"" src=""https://i.ibb.co/YdPwWWt/3.jpg""></div>
</div>",,,taxable,standard,1,10.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,589.0,,"blue, Green, Grey, modern, pink, Purple, red",,,,,,,,,Buy Now,1,,utrecht-style-armchair,"https://cdn.shopify.com/s/files/1/0324/8268/9157/products/utrecht-style-armchair-weilai-concept-weilai-concept.jpg?v=1676764800,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/utrecht-style-armchair-weilai-concept-weilai-concept-2.jpg?v=1676764802,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/utrecht-style-armchair-weilai-concept-weilai-concept-3.jpg?v=1676764803",Color,,,"Pink,Red,Green,Blue,Grey,Purple",,,,,,1,1,1,1,1,1,,
0100651,variable,0100651-P,"Ivar Side Table, Black",1,1,visible,"With a striking geometric design, the Ivar side table will certainly grab people’s attention and become the statement piece of your living space. Featuring a round table top and the leg a combination of a dome shape and a pillar","<div class=""productdescription"">
<table>
<tbody>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Product name</td>
<td>Ivar Side Table, Black</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Material</td>
<td>Ash Esche Wood</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Dimensions</td>
<td>More details below</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Color</td>
<td>Black, White<br>
</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">
<meta charset=""utf-8"">Assembly Need</td>
<td>Yes, Legs to be fitted</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Caring instructions</td>
<td>Wipe with a damp cloth if necessary</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Delivery</td>
<td>2-3 days to UK addresses, 4-5 days to EU addresses</td>
</tr>
<tr>
<td style=""font-weight: bold;"" data-mce-style=""font-weight: bold;"">Style</td>
<td>Contemporary &amp; Modern</td>
</tr>
</tbody>
</table>
</div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""><audio class=""audio-for-speech""></audio></div>
<div style=""text-align: center;"" class=""translate-tooltip-mtz hidden"" data-mce-style=""text-align: center;"">
<div class=""header"">
<div class=""header-controls"">
<span class=""sound-translate""></span> <span class=""settings""></span>
</div>
<div class=""translate-icons""></div>
<div class=""translate-icons""><img src=""https://i.ibb.co/4mGGp6S/3.jpg"" width=""568"" height=""10095""></div>
</div>
<div class=""translated-text"">
<div class=""words""></div>
<div class=""sentences""></div>
</div>
</div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""><span class=""translate-button-mtz hidden""></span></div>",,,taxable,standard,1,6.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,299.0,,,,,,,,,,,Buy Now,1,,ivar-side-table-oak,"https://cdn.shopify.com/s/files/1/0324/8268/9157/products/ivar-side-table-oak-weilai-concept-weilai-concept.jpg?v=1676764800,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/ivar-side-table-oak-weilai-concept-weilai-concept-2.jpg?v=1676764802,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/ivar-side-table-oak-weilai-concept-weilai-concept-3.jpg?v=1676764804,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/ivar-side-table-oak-weilai-concept-weilai-concept-4.jpg?v=1676764805",Color,,,"Black,White",,,,,,1,1,1,1,1,1,,
0100652,variable,0100652-P,"Ivar Round Dining Table, Oak",1,1,visible,Ivar Round table adopts the simple style creates a classic immortality look. This table is timeless stylish and great function and will be a great place for friends to share a good time.,"<div class=""productdescription"">
<table>
<tbody>
<tr>
<td style=""font-weight: bold;"">Product name</td>
<td>Ivar Round Dining Table</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Material</td>
<td>Ash Esche Wood</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Dimensions</td>
<td>More details below</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Color</td>
<td>Light Oak, Dark Oak or Black</td>
</tr>
<tr>
<td style=""font-weight: bold;"">
<meta charset=""utf-8"">Assembly Need</td>
<td>Yes, just to attach the top to the base</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Caring instructions</td>
<td>Wipe with a damp cloth if necessary</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Delivery</td>
<td>2-3 days to UK addresses, 4-5 days to EU addresses</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Style</td>
<td>Contemporary &amp; Modern</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Notice</td>
<td>
<meta charset=""UTF-8""> <span>The slight color difference may not be avoided between batches and devices </span>
</td>
</tr>
</tbody>
</table>
</div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""><br></div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""><img src=""https://i.ibb.co/545jbwC/3.jpg"" width=""548"" height=""10782""></div>",,,taxable,standard,1,0.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,495.0,,"dining table on sale, Express Shipping (Dining Table), fbtt4_bundle-dining-chair, modern dining table, round dining table",,,,,,,,,Buy Now,1,,ivar-round-dining-table-oak,"https://cdn.shopify.com/s/files/1/0324/8268/9157/products/ivar-round-dining-table-oak-weilai-concept-weilai-concept.jpg?v=1694010922,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/WX20230906-152851.png?v=1694010922,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/03_a1dcb050-ff1e-4781-a09f-84d2ffa1e4c9.jpg?v=1694010922,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/04_52a70c4f-6d2b-42a3-ba3d-fccdc055be94.jpg?v=1694010922,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/ivar-round-dining-table-oak-weilai-concept-weilai-concept-3.jpg?v=1694010922,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/ivar-round-dining-table-oak-weilai-concept-weilai-concept-4.jpg?v=1694010922,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/05_416f9947-3670-4bd7-a586-50d8b49ece23.jpg?v=1694010922",Color,Size,,"Light Oak,Dark Oak,Black","80cm,90cm,100cm,110cm,120cm,130cm",,,,,1,1,1,1,1,1,,
0100653,variable,0100653-P,"Billy Chests Of Drawers, Walnut, Clearance",1,1,visible,,"<div class=""productdescription"">
<table>
<tbody>
<tr>
<td style=""font-weight: bold;"">Product name</td>
<td>Billy Chests Of Drawers, Walnut</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Material</td>
<td>Wood</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Dimensions</td>
<td>More details below</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Color</td>
<td>Walnut</td>
</tr>
<tr>
<td style=""font-weight: bold;"">
<meta charset=""utf-8"">Assembly Need</td>
<td>Yes</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Caring instructions</td>
<td>Wipe with a damp cloth if necessary</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Delivery</td>
<td>2-3 days to UK addresses, 4-5 days to EU addresses</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Style</td>
<td>Contemporary &amp; Modern</td>
</tr>
</tbody>
</table>
<audio class=""audio-for-speech""></audio>
<div class=""translate-tooltip-mtz hidden"">
<div class=""header"">
<div class=""header-controls"">
<span class=""sound-translate""></span> <span class=""settings""></span><br>
</div>
<div class=""translate-icons""><br></div>
</div>
</div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""><img height=""4235"" width=""547"" src=""https://i.ibb.co/9GRzYyF/3.jpg"" data-mce-src=""https://i.ibb.co/9GRzYyF/3.jpg""></div>
</div>",,,taxable,standard,1,-1.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,299.0,,,,,,,,,,,Buy Now,1,,billy-chests-of-drawers-walnut,"https://cdn.shopify.com/s/files/1/0324/8268/9157/products/billy-chests-of-drawers-walnut-weilai-concept-weilai-concept.jpg?v=1676764800,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/billy-chests-of-drawers-walnut-weilai-concept-weilai-concept-2.jpg?v=1676764802,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/billy-chests-of-drawers-walnut-weilai-concept-weilai-concept-3.jpg?v=1676764804,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/billy-chests-of-drawers-walnut-weilai-concept-weilai-concept-4.jpg?v=1676764806",Title,,,Default Title,,,,,,1,1,1,1,1,1,,
0100654,variable,0100654-P,"Cane Wardrobe, Hallway Storage, Natural Rattan & Oak",1,1,visible,,"<div class=""productdescription"">
<table>
<tbody>
<tr>
<td style=""font-weight: bold;"">Product name</td>
<td>Cane Wardrobe, Hallway Storage, Natural Rattan &amp; Oak</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Material</td>
<td>Wood, Rattan</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Dimensions</td>
<td>More details below</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Color</td>
<td>Oak<br>
</td>
</tr>
<tr>
<td style=""font-weight: bold;"">
<meta charset=""utf-8"">Assembly Need</td>
<td>Yes</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Caring instructions</td>
<td>Wipe with a damp cloth if necessary</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Delivery</td>
<td>2-3 days to UK addresses, 4-5 days to EU addresses</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Style</td>
<td>Contemporary &amp; Modern</td>
</tr>
</tbody>
</table>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""></div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""><img src=""https://i.ibb.co/Kht5301/3.jpg""></div>
</div>",,,taxable,standard,1,15.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,1199.0,,new trend,,,,,,,,,Buy Now,1,,cane-wardrobe-hallway-storage-natural-rattan-oak,"https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-wardrobe-hallway-storage-natural-rattan-oak-weilai-concept-weilai-concept.jpg?v=1676764788,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-wardrobe-hallway-storage-natural-rattan-oak-weilai-concept-1--weilai-concept-2.jpg?v=1676764789,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-wardrobe-hallway-storage-natural-rattan-oak-weilai-concept-weilai-concept-3.jpg?v=1676764791,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-wardrobe-hallway-storage-natural-rattan-oak-weilai-concept-weilai-concept-4.jpg?v=1676764793,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-wardrobe-hallway-storage-natural-rattan-oak-weilai-concept-2--weilai-concept-5.jpg?v=1676764795,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-wardrobe-hallway-storage-natural-rattan-oak-weilai-concept-3--weilai-concept-6.jpg?v=1676764796,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-wardrobe-hallway-storage-natural-rattan-oak-weilai-concept-4--weilai-concept-7.jpg?v=1676764798",Size,,,"1,2,3,4",,,,,,1,1,1,1,1,1,,
0100655,variable,0100655-P,"Cane Mini Side Table, Natural Rattan & Ash Esche Wood",1,1,visible,"Featuring a clean and simplistic design, the cane mini side table combines natural untreated wood with woven paper cord. This side table acts perfectly as a nightstand with a built in shelf and a cabinet for storage of everyday items. ","<div class=""productdescription"">
<table>
<tbody>
<tr>
<td style=""font-weight: bold;"">Product name</td>
<td>Cane Mini Side Table, Natural Rattan &amp; Oak</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Material</td>
<td><span>Natural Rattan &amp; Ash esche wood </span></td>
</tr>
<tr>
<td style=""font-weight: bold;"">Dimensions</td>
<td>More details below</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Color</td>
<td>Oak</td>
</tr>
<tr>
<td style=""font-weight: bold;"">
<meta charset=""utf-8"">Assembly Need</td>
<td>Yes, Legs to be fitted</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Caring instructions</td>
<td>Wipe with a damp cloth if necessary</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Delivery</td>
<td>2-3 days to UK addresses, 4-5 days to EU addresses</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Style</td>
<td>Contemporary &amp; Modern</td>
</tr>
</tbody>
</table>
</div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""></div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""><img src=""https://i.ibb.co/VTVdf5d/3.jpg""></div>",,,taxable,standard,1,15.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,299.0,,"bedside table, new trend",,,,,,,,,Buy Now,1,,cane-mini-side-table,"https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-mini-side-table-natural-rattan-oak-weilai-concept-weilai-concept.jpg?v=1676764788,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-mini-side-table-natural-rattan-oak-weilai-concept-weilai-concept-2.jpg?v=1676764790,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-mini-side-table-natural-rattan-oak-weilai-concept-weilai-concept-3.jpg?v=1676764791,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-mini-side-table-natural-rattan-oak-weilai-concept-weilai-concept-4.jpg?v=1676764793",Title,,,Default Title,,,,,,1,1,1,1,1,1,,
0100656,variable,0100656-P,"Cane Shoe Storage, Natural Rattan & Oak",1,1,visible,,"<div class=""productdescription"">
<table>
<tbody>
<tr>
<td style=""font-weight: bold;"">Product name</td>
<td>Cane Shoe Storage, Natural Rattan &amp; Oak</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Material</td>
<td>Rattan, Wood</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Dimensions</td>
<td>More details below</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Color</td>
<td>Beige, White, Black</td>
</tr>
<tr>
<td style=""font-weight: bold;"">
<meta charset=""utf-8"">Assembly Need</td>
<td>Yes</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Caring instructions</td>
<td>Wipe with a damp cloth if necessary</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Delivery</td>
<td>2-3 days to UK addresses, 4-5 days to EU addresses</td>
</tr>
<tr>
<td style=""font-weight: bold;"">Style</td>
<td>Contemporary &amp; Modern</td>
</tr>
</tbody>
</table>
<audio class=""audio-for-speech""></audio>
<div class=""translate-tooltip-mtz hidden"">
<div class=""header"">
<div class=""header-controls"">
<span class=""sound-translate""></span> <span class=""settings""></span>
</div>
<div class=""translate-icons""></div>
</div>
</div>
<div class=""translate-tooltip-mtz hidden"">
<div class=""header""></div>
<div class=""translated-text"">
<div class=""words""></div>
<div class=""sentences""></div>
</div>
</div>
<span class=""translate-button-mtz hidden""></span>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""></div>
<div style=""text-align: center;"" data-mce-style=""text-align: center;""><img src=""https://i.ibb.co/7nHRjZw/3.jpg""></div>
</div>",,,taxable,standard,1,17.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,659.0,,new trend,,,,,,,,,Buy Now,1,,cane-shoe-storage-oak,"https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-shoe-storage-natural-rattan-oak-weilai-concept-weilai-concept-3.jpg?v=1696836391,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-shoe-storage-natural-rattan-oak-weilai-concept-weilai-concept.jpg?v=1696836391,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-shoe-storage-natural-rattan-oak-weilai-concept-weilai-concept-2.jpg?v=1696836391,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/cane-shoe-storage-natural-rattan-oak-weilai-concept-weilai-concept-4.jpg?v=1676764793",Color,,,"Black,White,Beige,Grey",,,,,,1,1,1,1,1,1,,
